m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","82"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","13"
"2008-08-01 00:00:00","java","220"
"2008-08-01 00:00:00","javascript","160"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","ruby","68"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1636"
"2008-09-01 00:00:00","c++","749"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1121"
"2008-09-01 00:00:00","javascript","629"
"2008-09-01 00:00:00","perl","128"
"2008-09-01 00:00:00","php","471"
"2008-09-01 00:00:00","python","533"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","285"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c","302"
"2008-10-01 00:00:00","c#","1982"
"2008-10-01 00:00:00","c++","804"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1142"
"2008-10-01 00:00:00","javascript","720"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","603"
"2008-10-01 00:00:00","python","504"
"2008-10-01 00:00:00","ruby","245"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","c","257"
"2008-11-01 00:00:00","c#","1727"
"2008-11-01 00:00:00","c++","733"
"2008-11-01 00:00:00","delphi","139"
"2008-11-01 00:00:00","java","951"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","python","446"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","154"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1593"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","java","825"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","471"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","c#","2367"
"2009-01-01 00:00:00","c++","844"
"2009-01-01 00:00:00","delphi","163"
"2009-01-01 00:00:00","java","1140"
"2009-01-01 00:00:00","javascript","787"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","623"
"2009-01-01 00:00:00","python","630"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2595"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","delphi","165"
"2009-02-01 00:00:00","java","1200"
"2009-02-01 00:00:00","javascript","944"
"2009-02-01 00:00:00","perl","162"
"2009-02-01 00:00:00","php","747"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","428"
"2009-03-01 00:00:00","c#","3154"
"2009-03-01 00:00:00","c++","1044"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1424"
"2009-03-01 00:00:00","javascript","1006"
"2009-03-01 00:00:00","perl","136"
"2009-03-01 00:00:00","php","889"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","454"
"2009-04-01 00:00:00","c#","3301"
"2009-04-01 00:00:00","c++","1015"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1526"
"2009-04-01 00:00:00","javascript","1041"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","942"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","356"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","478"
"2009-05-01 00:00:00","c#","3546"
"2009-05-01 00:00:00","c++","1211"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1810"
"2009-05-01 00:00:00","javascript","1427"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1161"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","400"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","47"
"2009-06-01 00:00:00","c","498"
"2009-06-01 00:00:00","c#","3869"
"2009-06-01 00:00:00","c++","1248"
"2009-06-01 00:00:00","delphi","220"
"2009-06-01 00:00:00","java","2108"
"2009-06-01 00:00:00","javascript","1546"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1563"
"2009-06-01 00:00:00","python","1038"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","537"
"2009-07-01 00:00:00","c#","4401"
"2009-07-01 00:00:00","c++","1462"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2249"
"2009-07-01 00:00:00","javascript","1750"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","1996"
"2009-07-01 00:00:00","python","1158"
"2009-07-01 00:00:00","r","49"
"2009-07-01 00:00:00","ruby","498"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","c#","4439"
"2009-08-01 00:00:00","c++","1395"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2184"
"2009-08-01 00:00:00","javascript","1855"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2160"
"2009-08-01 00:00:00","python","1130"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","483"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4345"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2256"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","perl","247"
"2009-09-01 00:00:00","php","2240"
"2009-09-01 00:00:00","python","1167"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","770"
"2009-10-01 00:00:00","c#","4716"
"2009-10-01 00:00:00","c++","1683"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2497"
"2009-10-01 00:00:00","javascript","2042"
"2009-10-01 00:00:00","perl","281"
"2009-10-01 00:00:00","php","2334"
"2009-10-01 00:00:00","python","1414"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","491"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","958"
"2009-11-01 00:00:00","c#","4673"
"2009-11-01 00:00:00","c++","1744"
"2009-11-01 00:00:00","delphi","273"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2752"
"2009-11-01 00:00:00","javascript","2232"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2660"
"2009-11-01 00:00:00","python","1548"
"2009-11-01 00:00:00","r","93"
"2009-11-01 00:00:00","ruby","653"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4479"
"2009-12-01 00:00:00","c++","1650"
"2009-12-01 00:00:00","delphi","281"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2674"
"2009-12-01 00:00:00","javascript","2299"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2787"
"2009-12-01 00:00:00","python","1583"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","570"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","c","977"
"2010-01-01 00:00:00","c#","5105"
"2010-01-01 00:00:00","c++","1994"
"2010-01-01 00:00:00","delphi","302"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3714"
"2010-01-01 00:00:00","javascript","2617"
"2010-01-01 00:00:00","perl","299"
"2010-01-01 00:00:00","php","3401"
"2010-01-01 00:00:00","python","1932"
"2010-01-01 00:00:00","r","93"
"2010-01-01 00:00:00","ruby","682"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5088"
"2010-02-01 00:00:00","c++","2274"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3570"
"2010-02-01 00:00:00","javascript","2635"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3132"
"2010-02-01 00:00:00","python","1860"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","686"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1112"
"2010-03-01 00:00:00","c#","6020"
"2010-03-01 00:00:00","c++","2428"
"2010-03-01 00:00:00","delphi","315"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4435"
"2010-03-01 00:00:00","javascript","2983"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3704"
"2010-03-01 00:00:00","python","2068"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","692"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1179"
"2010-04-01 00:00:00","c#","5767"
"2010-04-01 00:00:00","c++","2486"
"2010-04-01 00:00:00","delphi","268"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3867"
"2010-04-01 00:00:00","javascript","3009"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","php","3624"
"2010-04-01 00:00:00","python","1805"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","751"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","107"
"2010-05-01 00:00:00","c","1176"
"2010-05-01 00:00:00","c#","5919"
"2010-05-01 00:00:00","c++","2413"
"2010-05-01 00:00:00","delphi","279"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4160"
"2010-05-01 00:00:00","javascript","3229"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3947"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1149"
"2010-06-01 00:00:00","c#","6131"
"2010-06-01 00:00:00","c++","2817"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4270"
"2010-06-01 00:00:00","javascript","3472"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4055"
"2010-06-01 00:00:00","python","2201"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","swift","4"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1282"
"2010-07-01 00:00:00","c#","6671"
"2010-07-01 00:00:00","c++","2671"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4498"
"2010-07-01 00:00:00","javascript","3876"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4561"
"2010-07-01 00:00:00","python","2576"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","908"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6950"
"2010-08-01 00:00:00","c++","2624"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4693"
"2010-08-01 00:00:00","javascript","3991"
"2010-08-01 00:00:00","perl","544"
"2010-08-01 00:00:00","php","5087"
"2010-08-01 00:00:00","python","2488"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","990"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1369"
"2010-09-01 00:00:00","c#","6400"
"2010-09-01 00:00:00","c++","2723"
"2010-09-01 00:00:00","delphi","317"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4697"
"2010-09-01 00:00:00","javascript","3988"
"2010-09-01 00:00:00","perl","459"
"2010-09-01 00:00:00","php","4654"
"2010-09-01 00:00:00","python","2244"
"2010-09-01 00:00:00","r","235"
"2010-09-01 00:00:00","ruby","934"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1438"
"2010-10-01 00:00:00","c#","6719"
"2010-10-01 00:00:00","c++","2925"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5007"
"2010-10-01 00:00:00","javascript","4097"
"2010-10-01 00:00:00","perl","495"
"2010-10-01 00:00:00","php","4473"
"2010-10-01 00:00:00","python","2666"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","924"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1673"
"2010-11-01 00:00:00","c#","7299"
"2010-11-01 00:00:00","c++","3364"
"2010-11-01 00:00:00","delphi","389"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5578"
"2010-11-01 00:00:00","javascript","4533"
"2010-11-01 00:00:00","perl","464"
"2010-11-01 00:00:00","php","5070"
"2010-11-01 00:00:00","python","2598"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","ruby","924"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1464"
"2010-12-01 00:00:00","c#","7087"
"2010-12-01 00:00:00","c++","3126"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","java","5656"
